country,city,GSV,espg,name,year,week,latitude,longitude,counts_week,spatial_lag,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,3_way_int_count,4_way_int_count,median_speed,dist_to_greenspace,dist_to_bikePOI,dist_to_edu,dist_to_train,bike_points,bus_stops,restaurants,daily_shops,business_shops,traffic_signals,cycle_length,ndvi_mean,ndvi_std,dem_mean,dem_std,lst_mean,lst_std,lc_entropy,pop_sum,build_area
USA,Seattle,y,32610,Spokane0Street,2022,38,47.57127,-122.349699,6516,906261,16,29,3.625,5821.647,200.7464483,3.25,15,3715.714,23,161.5527826,1.021954931,8,5,40.2335,194,194,162,21,0,0,0,0,0,4,498.4940627,0.088286932,0.14527881,2.935779817,3.002369796,18.43711139,1.976041736,0.569379098,0,0.02185445
USA,Seattle,y,32610,2nd0Avenue,2022,38,47.604745,-122.334772,6176,906601,52,109,4.192307692,9519.073,87.33094495,3.846153846,52,7275.909,83,87.66155422,1.002498618,7,43,40.2335,190,0,183,189,55,18,41,1,10,23,1382.996346,0.115582853,0.109733717,38.40639269,18.19288223,18.36631796,0.926300989,0.483020009,367.9107971,0.09019282
USA,Seattle,y,32610,Elliott0Bay0Trail0in0Myrtle0Edwards0Park,2022,38,47.618624,-122.359977,7828,904949,22,52,4.727272727,5213.131,100.2525192,3.409090909,21,2970.818,30,99.02726667,1.002097821,10,11,40.2335,0,120,125,220,2,3,3,0,0,3,794.675494,0.163645323,0.213854676,6.497716895,6.867549548,16.07268033,3.191488184,0.784555168,261.9756165,0.02938728
USA,Seattle,y,32610,Burke0Gilman0Trail0north0of0NE070th0St,2022,38,47.679799,-122.265145,7932,904845,16,38,4.75,8036.432,211.4850526,3.25,16,4018.216,19,211.4850526,1.059392639,12,4,32.1868,219,214,216,216,1,4,0,1,0,1,705.7370422,0.439043442,0.214903777,35.90909091,15.12255718,19.83573775,0.47540593,0.718035052,519.2996826,0.0465694
USA,Seattle,y,32610,58th0St0Greenway0at022nd0Ave,2021,38,47.670918,-122.384502,959,911818,46,115,5,15166.163,131.8796783,3.586956522,45,7689.301,62,124.0209839,1.001679079,16,29,32.1868,195,195,183,183,29,1,12,1,4,1,1077.24993,0.243044859,0.153736707,27,4.004692084,19.11922774,0.374881205,0.673810987,849.6720581,0.06217238
USA,Seattle,y,32610,Broadway0Cycle0Track0North0Of0E0Union0St,2021,38,47.613183,-122.320807,2606,910171,50,145,5.8,14060.199,96.96688966,3.46,49,7116.164,74,96.16437838,1.009441756,22,26,40.2335,0,186,194,211,63,10,50,3,15,6,1908.660309,0.173398408,0.158187111,95.89545455,4.755186381,19.60584828,0.819299473,0.718665797,340.1219482,0.08703098
USA,Seattle,y,32610,Chief0Sealth0Trail0North0of0Thistle,2021,38,47.528003,-122.281044,435,912342,45,97,4.311111111,10743.048,110.7530722,2.933333333,37,6200.191,53,116.9847358,1.012126126,24,13,40.2335,203,183,183,193,0,2,0,0,0,5,648.5208334,0.457819792,0.186889902,29.56621005,7.324753165,20.34852356,0.516894295,0.936542985,477.9991455,0.02927525
USA,Seattle,y,32610,MTS0Trail0west0of0I-900Bridge,2021,38,47.590692,-122.288026,3253,909524,33,74,4.484848485,8234.094,111.2715405,2.818181818,26,4117.047,37,111.2715405,1.018867763,18,8,40.2335,182,162,18,162,0,5,0,0,0,0,1119.782593,0.457916182,0.244417634,32.95774648,22.32418211,17.71631318,1.407760036,0.719794909,169.8778076,0.02039068
USA,Seattle,y,32610,Thomas0St0Overpass,2022,38,47.62058,-122.361289,933,911844,28,75,5.357142857,7857.497,104.7666267,3.535714286,27,4270.906,41,104.168439,1.001122264,10,17,40.2335,125,0,0,175,6,3,2,0,0,2,925.7232089,0.174541337,0.183471611,9.150684932,8.055182794,17.7912475,2.546789996,0.709870879,202.037262,0.04057897
USA,Seattle,y,32610,2nd0Ave0Cycle0Track0North0of0Marion0St,2022,38,47.604607,-122.33463,6176,906601,54,112,4.148148148,9809.757,87.58711607,3.777777778,53,7441.879,85,87.55151765,1.00244345,8,43,40.2335,190,0,183,189,55,16,41,2,9,20,1224.693638,0.115320344,0.10932127,37.49315068,17.38927656,18.44862122,0.92437489,0.514948764,367.9107971,0.09142668
